SO Description,CustCode,Dsg Ctg,Prod Ctg,PPC Delivery Period,Factory,Set Type,MS Qty,WS Qty,KT,Total Bag Bal,Bal To Prod Qty,Bal To Exp Qty,BalToMfg,CastBal
Natural Diamond Bangle Order,CUST0066,EAR PARTY,STATEMENT PIECES,W23-2026,F4,WS,0,41,14K92,14,175,130,294,82
LGD Eternity Ring,CUST0054,BRACELET,BRIDAL COLLECTION,W15-2026,F1,WS,0,1,09K,569,303,259,305,42
Natural Diamond Anklet,CUST0034,NECK PIECE,EVERYDAY WEAR,W07-2026,F10,WS,0,2,09K92,476,231,8,164,144
LGD Diamond Ring Order,CUST0089,RING BRIDAL,EVERYDAY WEAR,W18-2026,F3,MS,43,0,09K92,21,447,176,257,198
Mined Stone Brooch Order,CUST0099,NECKLACE,CLASSIC COLLECTION,W25-2026,F2,WS,0,37,10K92,288,475,234,110,110
Mined Diamond Bridal Set,CUST0064,RING BRIDAL,LUXURY LINE,W15-2026,F10,WS,0,24,PT95,278,221,119,395,30
Natural Diamond Anklet,CUST0016,ANKLET,EVERYDAY WEAR,W49-2026,F2,WS,0,25,S925,271,270,138,28,134
Natural Diamond Ring Order,CUST0064,EAR PARTY,MODERN DESIGN,Overdue,F2,MS,19,0,S925,372,244,137,254,90
Natural Diamond Ring Order,CUST0068,PENDANT,MODERN DESIGN,W39-2026,F9,WS,0,27,S925,126,240,242,371,113
Mined Stone Ring Collection,CUST0022,RING,MODERN DESIGN,Overdue,F10,MS,21,0,S928,61,168,193,387,173
LGD Solitaire Engagement Ring,CUST0095,NECKLACE,EVERYDAY WEAR,W11-2026,F3,WS,0,4,U14K,171,188,47,1,30
Mined Stone Brooch Order,CUST0022,RING BRIDAL,LUXURY LINE,Due,F1,WS,0,24,09KPT,993,65,177,345,86
Natural Stone Pendant,CUST0029,NECKLACE,FASHION JEWELRY,W12-2026,F4,WS/MS,1,7,S930,478,377,189,124,3
Natural Diamond Anklet,CUST0079,NECKLACE,FASHION JEWELRY,W18-2026,F9,WS/MS,11,10,09K,620,266,128,218,144
LGD Pendant Collection,CUST0040,BANGLE,VINTAGE STYLE,W13-2026,F2,MS,29,0,S928,541,463,112,206,185
LGD Bridal Set Order,CUST0008,RING,VINTAGE STYLE,Due,F1,WS/MS,14,12,14K92,321,167,179,392,61
Natural Diamond Anklet,CUST0023,RING,CLASSIC COLLECTION,W38-2026,F4,WS,0,35,U10K,172,405,230,192,108
LGD Pendant Collection,CUST0077,RING BRIDAL,VINTAGE STYLE,W19-2026,F4,MS,3,0,09K,512,330,241,96,189
Mined Stone Earring Set,CUST0069,BRACELET,VINTAGE STYLE,W10-2026,F10,WS/MS,4,22,S930,490,405,96,120,6
Mined Diamond Bridal Set,CUST0043,NECKLACE,LUXURY LINE,Overdue,F2,WS,0,5,U18K,607,444,102,358,72
Mined Diamond Bridal Set,CUST0034,RING BRIDAL,LUXURY LINE,W50-2026,F1,WS,0,45,U18K,11,82,193,46,34
LGD Eternity Ring,CUST0029,RING BRIDAL,CLASSIC COLLECTION,W07-2026,F9,WS,0,43,S930,275,476,50,328,105
Natural Diamond Anklet,CUST0018,BRACELET,MODERN DESIGN,Due,F4,MS,1,0,09K92,863,400,175,9,22
Mined Stone Earring Set,CUST0037,RING BRIDAL,FINE JEWELRY,W49-2026,F4,WS/MS,24,15,14K,95,442,104,64,149
LGD Diamond Necklace,CUST0026,RING BRIDAL,FASHION JEWELRY,Due,F10,WS/MS,12,17,S925,568,477,71,62,30
Mined Stone Ring Collection,CUST0029,PENDANT,MODERN DESIGN,W10-2026,F4,WS,0,27,U09K,914,21,251,96,97
Mined Stone Earring Set,CUST0018,NECKLACE,VINTAGE STYLE,To Check,F1,WS,0,38,PT95,260,37,225,29,170
Mined Stone Earring Set,CUST0060,RING,LUXURY LINE,W20-2026,F9,WS,0,23,U14K,306,308,128,317,103
Mined Stone Ring Collection,CUST0030,NECKLACE,VINTAGE STYLE,Due,F9,WS,0,13,U18K,431,62,0,360,31
LGD Halo Ring Order,CUST0011,RING,LUXURY LINE,W24-2026,F10,MS,18,0,10K92,131,134,287,165,74
LGD Diamond Ring Order,CUST0070,ANKLET,EVERYDAY WEAR,W30-2026,F3,WS,0,13,18K,995,299,103,264,101
LGD Pendant Collection,CUST0004,EARRING,VINTAGE STYLE,W52-2026,F3,MS,3,0,10K,837,389,284,144,120
Mined Diamond Bridal Set,CUST0024,EARRING,BRIDAL COLLECTION,W06-2026,F9,WS,0,11,09K92,946,177,36,180,67
Natural Diamond Ring Order,CUST0008,EARRING,CLASSIC COLLECTION,W15-2026,F9,MS,33,0,14K,929,103,243,355,140
Mined Diamond Necklace Order,CUST0100,EARRING,LUXURY LINE,W42-2026,F2,WS,0,5,U18K,904,409,66,57,181
LGD Diamond Necklace,CUST0020,RING,FINE JEWELRY,W41-2026,F1,WS/MS,17,29,U10K,589,97,179,260,91
Mined Stone Ring Collection,CUST0055,EAR PARTY,FINE JEWELRY,W16-2026,F3,WS,0,36,09K92,417,243,185,81,176
LGD Diamond Ring Order,CUST0059,EARRING,BRIDAL COLLECTION,W09-2026,F2,WS/MS,2,15,09K,104,495,134,190,66
Natural Stone Pendant,CUST0085,BRACELET,STATEMENT PIECES,W38-2026,F4,MS,24,0,U10K,448,97,223,15,30
Mined Stone Earring Set,CUST0080,EARRING,EVERYDAY WEAR,W42-2026,F3,WS,0,39,18K,36,304,90,197,116
Natural Diamond Bangle Order,CUST0037,RING BRIDAL,FINE JEWELRY,W32-2026,F3,MS,19,0,09K,578,323,61,37,167
Mined Stone Earring Set,CUST0007,ANKLET,EVERYDAY WEAR,W40-2026,F2,MS,32,0,U18K,7,120,279,169,168
LGD Diamond Necklace,CUST0085,NECKLACE,FASHION JEWELRY,W51-2026,F2,WS/MS,4,8,10K,512,352,220,30,173
Natural Diamond Anklet,CUST0002,BRACELET,FINE JEWELRY,W23-2026,F9,MS,25,0,BRASS,98,337,135,358,82
LGD Solitaire Engagement Ring,CUST0086,BRACELET,VINTAGE STYLE,Due,F1,WS/MS,17,12,09KPT,649,321,197,288,126
LGD Halo Ring Order,CUST0055,RING,BRIDAL COLLECTION,Due,F3,MS,33,0,U14K,508,393,290,137,186
Mined Stone Ring Collection,CUST0051,RING,VINTAGE STYLE,Overdue,F4,WS/MS,5,13,18K,376,344,257,148,137
LGD Diamond Necklace,CUST0059,RING,FASHION JEWELRY,To Check,F3,WS/MS,28,22,U14K,232,289,37,62,36
Mined Stone Earring Set,CUST0007,RING,CLASSIC COLLECTION,W49-2026,F10,WS/MS,27,16,10K,371,105,35,362,45
LGD Eternity Ring,CUST0058,BROOCH,FASHION JEWELRY,Due,F1,WS,0,23,U18K,428,204,163,399,6
Mined Stone Ring Collection,CUST0060,EARRING,VINTAGE STYLE,To Check,F10,WS/MS,19,22,S930,626,232,68,171,177
LGD Tennis Bracelet Order,CUST0032,EARRING,EVERYDAY WEAR,Overdue,F1,WS/MS,25,20,U14K,608,372,221,194,39
Mined Stone Earring Set,CUST0037,RING,BRIDAL COLLECTION,W08-2026,F10,MS,3,0,09K,489,287,155,119,181
LGD Eternity Ring,CUST0016,NECKLACE,BRIDAL COLLECTION,W04-2026,F4,WS,0,42,S928,194,371,252,234,59
LGD Tennis Bracelet Order,CUST0028,BRACELET,LUXURY LINE,Due,F4,MS,40,0,U09K,53,341,3,310,174
Mined Stone Ring Collection,CUST0056,RING,STATEMENT PIECES,W21-2026,F2,MS,30,0,U14K,61,171,65,31,50
Mined Diamond Bridal Set,CUST0006,RING BRIDAL,LUXURY LINE,W52-2026,F3,MS,36,0,PT95,535,4,105,238,21
LGD Halo Ring Order,CUST0084,EARRING,STATEMENT PIECES,Overdue,F2,WS,0,5,U09K,552,464,244,245,36
LGD Pendant Collection,CUST0084,RING,FASHION JEWELRY,W20-2026,F9,WS,0,15,10K,584,307,268,26,176
LGD Pendant Collection,CUST0018,RING,STATEMENT PIECES,W38-2026,F4,WS,0,37,14K92,83,248,201,295,101
LGD Halo Ring Order,CUST0012,EARRING,LUXURY LINE,Due,F9,WS,0,21,U14K,147,90,293,81,86
Natural Diamond Bracelet,CUST0001,EARRING,FASHION JEWELRY,W07-2026,F9,WS/MS,15,20,09K92,57,464,171,118,72
LGD Diamond Bangle,CUST0010,RING,STATEMENT PIECES,W05-2026,F2,MS,11,0,09KPT,318,439,292,232,53
LGD Eternity Ring,CUST0071,RING BRIDAL,MODERN DESIGN,W27-2026,F10,MS,43,0,U10K,909,121,281,83,185
LGD Pendant Collection,CUST0050,RING,CLASSIC COLLECTION,W36-2026,F10,MS,33,0,10K,471,413,132,41,34
Mined Diamond Bridal Set,CUST0061,RING,CLASSIC COLLECTION,W44-2026,F9,WS/MS,2,5,U14K,887,478,14,102,89
Natural Diamond Ring Order,CUST0032,EARRING,MODERN DESIGN,W36-2026,F9,WS,0,46,10K92,441,109,216,267,197
LGD Tennis Bracelet Order,CUST0036,RING,FINE JEWELRY,W27-2026,F3,WS,0,31,PT95,229,239,200,174,53
Mined Stone Ring Collection,CUST0039,RING BRIDAL,FASHION JEWELRY,W02-2026,F4,MS,8,0,PT95,450,0,267,41,13
Mined Stone Ring Collection,CUST0010,RING,EVERYDAY WEAR,W51-2026,F10,WS,0,6,09KPT,700,64,76,84,65
Mined Diamond Necklace Order,CUST0073,BRACELET,LUXURY LINE,W41-2026,F3,MS,16,0,S925,365,298,22,248,111
Mined Stone Brooch Order,CUST0042,RING,STATEMENT PIECES,W47-2026,F4,MS,35,0,S930,994,474,40,310,4
LGD Diamond Earring Set,CUST0050,RING,BRIDAL COLLECTION,Due,F4,WS,0,46,10K92,602,341,213,130,98
LGD Pendant Collection,CUST0086,BANGLE,FASHION JEWELRY,Due,F10,MS,2,0,09K,173,396,294,10,99
Natural Diamond Ring Order,CUST0069,NECKLACE,FINE JEWELRY,W41-2026,F9,MS,42,0,18K,414,410,36,281,194
Natural Diamond Ring Order,CUST0099,EARRING,FINE JEWELRY,Due,F9,MS,50,0,14K,914,273,41,319,4
Natural Stone Pendant,CUST0049,RING BRIDAL,FINE JEWELRY,W43-2026,F2,WS,0,42,09KPT,345,367,206,111,3
Natural Diamond Anklet,CUST0056,PENDANT,MODERN DESIGN,W06-2026,F4,MS,3,0,U10K,608,122,244,48,182
Natural Diamond Ring Order,CUST0075,RING,FINE JEWELRY,W31-2026,F4,WS,0,27,BRASS,541,23,12,216,53
LGD Tennis Bracelet Order,CUST0037,RING BRIDAL,FASHION JEWELRY,W42-2026,F10,MS,4,0,S930,149,74,237,41,83
Mined Stone Brooch Order,CUST0077,NECKLACE,LUXURY LINE,W27-2026,F1,MS,7,0,10K92,455,487,233,260,27
LGD Solitaire Engagement Ring,CUST0026,RING,CLASSIC COLLECTION,To Check,F3,WS/MS,18,12,S930,229,342,98,348,107
Natural Diamond Ring Order,CUST0030,RING,VINTAGE STYLE,W38-2026,F3,WS/MS,18,17,18K,688,18,221,55,136
Natural Stone Pendant,CUST0027,EAR PARTY,VINTAGE STYLE,W10-2026,F1,WS,0,12,U14K,418,57,249,95,85
Mined Stone Earring Set,CUST0029,PENDANT,BRIDAL COLLECTION,W30-2026,F2,WS,0,14,S928,855,497,192,151,60
Natural Diamond Bracelet,CUST0023,EAR PARTY,VINTAGE STYLE,W05-2026,F1,MS,33,0,14K92,782,470,226,336,29
LGD Diamond Necklace,CUST0080,EARRING,VINTAGE STYLE,Due,F10,MS,30,0,S930,507,224,89,342,98
Natural Stone Pendant,CUST0057,BOLO BRACELET,FASHION JEWELRY,W40-2026,F10,WS,0,22,10K,388,127,217,325,1
LGD Diamond Necklace,CUST0008,NECKLACE,VINTAGE STYLE,W26-2026,F10,WS,0,29,09KPT,222,499,223,141,198
LGD Solitaire Engagement Ring,CUST0094,BANGLE,VINTAGE STYLE,W26-2026,F1,WS/MS,23,9,09K92,415,132,23,371,132
Natural Diamond Ring Order,CUST0062,EARRING,STATEMENT PIECES,W17-2026,F4,MS,35,0,S925,638,24,57,192,150
Natural Stone Pendant,CUST0007,RING BRIDAL,BRIDAL COLLECTION,Due,F3,WS,0,24,PT95,364,462,125,39,18
Natural Diamond Anklet,CUST0015,RING BRIDAL,LUXURY LINE,W36-2026,F9,WS/MS,11,11,09K,929,11,111,295,147
LGD Diamond Earring Set,CUST0093,PENDANT,BRIDAL COLLECTION,W01-2026,F9,MS,43,0,PT95,339,327,107,79,17
Natural Diamond Anklet,CUST0025,NECKLACE,VINTAGE STYLE,W12-2026,F2,WS/MS,21,7,PT95,403,420,226,219,107
Mined Diamond Necklace Order,CUST0012,RING,FINE JEWELRY,W23-2026,F10,WS,0,29,14K,923,439,22,151,137
LGD Solitaire Engagement Ring,CUST0074,NECKLACE,EVERYDAY WEAR,W50-2026,F3,MS,6,0,U10K,657,467,153,396,98
Natural Diamond Anklet,CUST0025,NECKLACE,EVERYDAY WEAR,W43-2026,F9,MS,20,0,10K,999,428,85,190,164
Mined Diamond Necklace Order,CUST0075,RING,MODERN DESIGN,W37-2026,F1,MS,42,0,U18K,239,488,122,133,121
Mined Stone Earring Set,CUST0038,RING,BRIDAL COLLECTION,Due,F2,MS,9,0,14K,220,215,111,129,136
Natural Diamond Bangle Order,CUST0002,EARRING,CLASSIC COLLECTION,W51-2026,F9,WS/MS,29,24,U18K,805,117,160,152,150
LGD Eternity Ring,CUST0076,RING BRIDAL,FASHION JEWELRY,W50-2026,F2,WS,0,17,10K92,857,276,294,205,51
LGD Diamond Necklace,CUST0083,RING,VINTAGE STYLE,W14-2026,F9,MS,45,0,10K,899,164,175,270,8
Natural Stone Pendant,CUST0025,EARRING,STATEMENT PIECES,Due,F10,MS,11,0,14K92,138,269,233,27,66
Mined Stone Earring Set,CUST0055,EARRING,FINE JEWELRY,Due,F4,WS,0,19,U18K,901,59,99,311,119
LGD Diamond Earring Set,CUST0081,NECK PIECE,FINE JEWELRY,W11-2026,F10,WS,0,8,S930,202,350,62,315,14
LGD Halo Ring Order,CUST0037,NECKLACE,BRIDAL COLLECTION,Overdue,F9,MS,50,0,14K92,892,284,279,243,103
LGD Solitaire Engagement Ring,CUST0002,RING BRIDAL,MODERN DESIGN,W16-2026,F3,WS,0,23,18K,787,496,28,212,56
Mined Stone Brooch Order,CUST0042,EARRING,EVERYDAY WEAR,W38-2026,F9,MS,30,0,U09K,440,329,234,245,63
LGD Eternity Ring,CUST0082,BANGLE,FASHION JEWELRY,Overdue,F1,WS,0,48,14K92,589,474,78,41,119
Natural Diamond Ring Order,CUST0082,RING BRIDAL,FASHION JEWELRY,Due,F10,MS,36,0,S925,700,445,183,398,173
LGD Diamond Ring Order,CUST0029,EARRING,STATEMENT PIECES,Due,F3,MS,25,0,U09K,774,450,197,289,145
