CustCode,Factory,BalToMfg
CUST0029,F4,96
CUST0018,F1,29
CUST0060,F9,317
CUST0030,F9,360
CUST0011,F10,165
CUST0070,F3,264
CUST0004,F3,144
CUST0024,F9,180
CUST0008,F9,355
CUST0100,F2,57
CUST0020,F1,260
CUST0055,F3,81
CUST0059,F2,190
CUST0085,F4,15
CUST0080,F3,197
CUST0037,F3,37
CUST0007,F2,169
CUST0085,F2,30
CUST0002,F9,358
CUST0086,F1,288
CUST0055,F3,137
CUST0051,F4,148
CUST0059,F3,62
CUST0007,F10,362
CUST0058,F1,399
CUST0060,F10,171
CUST0032,F1,194
CUST0037,F10,119
CUST0016,F4,234
CUST0028,F4,310
CUST0056,F2,31
CUST0006,F3,238
CUST0084,F2,245
CUST0084,F9,26
CUST0018,F4,295
CUST0012,F9,81
CUST0001,F9,118
CUST0010,F2,232
CUST0071,F10,83
CUST0050,F10,41
CUST0061,F9,102
CUST0032,F9,267
CUST0036,F3,174
CUST0039,F4,41
CUST0010,F10,84
CUST0073,F3,248
CUST0042,F4,310
CUST0050,F4,130
CUST0086,F10,10
CUST0069,F9,281
CUST0099,F9,319
CUST0049,F2,111
CUST0056,F4,48
CUST0075,F4,216
CUST0037,F10,41
CUST0077,F1,260
CUST0026,F3,348
CUST0030,F3,55
CUST0027,F1,95
CUST0029,F2,151
CUST0023,F1,336
CUST0080,F10,342
CUST0057,F10,325
CUST0008,F10,141
CUST0094,F1,371
CUST0062,F4,192
CUST0007,F3,39
CUST0015,F9,295
CUST0093,F9,79
CUST0025,F2,219
CUST0012,F10,151
CUST0074,F3,396
CUST0025,F9,190
CUST0075,F1,133
CUST0038,F2,129
CUST0002,F9,152
CUST0076,F2,205
CUST0083,F9,270
CUST0025,F10,27
CUST0055,F4,311
CUST0081,F10,315
CUST0037,F9,243
CUST0002,F3,212
CUST0042,F9,245
CUST0082,F1,41
CUST0082,F10,398
CUST0029,F3,289
CUST0026,F2,228
CUST0082,F9,58
CUST0049,F1,299
CUST0086,F10,103
CUST0075,F1,156
CUST0031,F1,289
CUST0080,F1,127
CUST0046,F4,38
CUST0009,F9,200
CUST0050,F2,195
CUST0013,F1,352
CUST0086,F1,345
CUST0016,F2,317
CUST0088,F3,83
CUST0088,F1,337
CUST0007,F3,16
CUST0057,F1,345
CUST0049,F10,94
CUST0036,F10,229
CUST0060,F1,307
CUST0087,F9,282
CUST0010,F4,40
CUST0034,F3,131
CUST0078,F9,192
CUST0032,F4,117
CUST0001,F9,245
CUST0046,F9,267
CUST0070,F1,135
CUST0005,F1,252
CUST0056,F3,306
CUST0050,F9,288
CUST0057,F9,379
CUST0005,F3,245
CUST0053,F3,302
CUST0023,F3,337
CUST0090,F2,159
CUST0005,F9,157
CUST0087,F4,103
CUST0060,F2,343
CUST0030,F1,211
CUST0081,F9,282
CUST0050,F2,56
CUST0015,F9,167
CUST0098,F9,288
CUST0069,F3,79
CUST0042,F1,45
CUST0020,F10,389
CUST0043,F10,255
CUST0038,F1,197
CUST0051,F10,23
CUST0033,F4,366
CUST0088,F2,136
CUST0022,F9,178
CUST0039,F9,261
CUST0011,F10,56
CUST0081,F10,117
CUST0047,F4,198
CUST0021,F4,314
CUST0036,F1,88
CUST0001,F2,163
CUST0084,F3,324
CUST0035,F2,234
CUST0011,F3,344
CUST0008,F2,282
CUST0088,F9,248
CUST0030,F2,400
CUST0079,F9,315
CUST0027,F1,339
CUST0085,F9,104
CUST0050,F3,104
CUST0003,F1,147
CUST0098,F1,199
CUST0086,F4,170
CUST0083,F1,195
CUST0012,F3,398
CUST0071,F3,207
CUST0065,F9,136
CUST0096,F4,295
CUST0025,F1,385
CUST0035,F9,138
CUST0091,F2,299
CUST0087,F2,337
CUST0079,F3,356
CUST0042,F3,320
CUST0091,F9,151
CUST0055,F9,380
CUST0009,F3,184
CUST0011,F3,52
CUST0004,F9,29
CUST0060,F9,12
CUST0043,F9,132
CUST0084,F3,3
CUST0011,F2,120
CUST0039,F1,334
CUST0040,F10,166
CUST0067,F9,183
CUST0034,F1,35
CUST0082,F2,316
CUST0039,F10,154
CUST0063,F10,394
CUST0097,F3,180
CUST0066,F10,386
CUST0020,F10,12
CUST0068,F10,52
CUST0065,F9,124
CUST0052,F9,157
CUST0091,F3,381
CUST0008,F3,264
CUST0011,F4,45
CUST0058,F4,101
CUST0011,F3,292
CUST0097,F1,305
CUST0050,F1,240
CUST0082,F1,246
CUST0039,F9,124
CUST0038,F9,238
CUST0037,F4,15
CUST0070,F2,196
CUST0060,F1,343
CUST0099,F2,43
CUST0077,F1,151
CUST0093,F10,137
CUST0006,F3,40
CUST0075,F3,155
CUST0085,F3,80
CUST0035,F3,151
CUST0082,F9,131
CUST0013,F4,290
CUST0050,F2,327
CUST0006,F1,373
CUST0003,F1,13
CUST0096,F2,274
CUST0037,F4,143
CUST0078,F2,55
CUST0014,F10,56
CUST0026,F4,119
CUST0080,F9,358
CUST0012,F10,39
CUST0055,F2,29
CUST0067,F9,284
CUST0066,F9,302
CUST0087,F3,241
CUST0066,F4,255
CUST0100,F1,70
CUST0072,F10,56
CUST0081,F2,176
CUST0031,F1,274
CUST0013,F2,100
CUST0092,F9,336
CUST0064,F9,399
CUST0074,F9,203
CUST0041,F4,254
CUST0087,F9,186
CUST0005,F4,229
CUST0026,F2,345
CUST0041,F2,96
CUST0050,F1,202
CUST0003,F4,240
CUST0077,F1,177
CUST0077,F3,354
CUST0056,F2,195
CUST0093,F3,20
CUST0033,F9,346
CUST0053,F2,340
CUST0053,F1,243
CUST0069,F1,302
CUST0021,F3,306
CUST0090,F10,73
CUST0100,F3,25
CUST0024,F1,117
CUST0029,F2,158
CUST0014,F1,335
CUST0077,F4,83
CUST0011,F4,127
CUST0003,F3,365
CUST0074,F1,326
CUST0075,F2,230
CUST0056,F3,151
CUST0052,F9,241
CUST0093,F10,350
CUST0099,F1,44
CUST0093,F2,60
CUST0067,F9,296
CUST0041,F1,37
CUST0097,F3,250
CUST0089,F3,323
CUST0007,F4,140
CUST0005,F1,379
CUST0080,F4,6
CUST0100,F10,342
CUST0065,F9,12
CUST0028,F2,334
CUST0082,F1,62
CUST0076,F3,304
CUST0079,F2,342
CUST0041,F10,92
CUST0044,F3,144
CUST0018,F3,391
CUST0084,F2,330
CUST0091,F1,86
CUST0051,F1,59
CUST0052,F3,340
CUST0062,F4,35
CUST0035,F9,192
CUST0028,F4,130
CUST0061,F10,216
CUST0005,F4,171
CUST0081,F1,374
CUST0006,F3,369
CUST0001,F2,344
CUST0049,F9,195
CUST0008,F4,147
CUST0010,F1,53
CUST0065,F2,216
CUST0058,F9,364
CUST0024,F4,299
CUST0039,F1,376
CUST0001,F9,387
CUST0090,F3,69
CUST0056,F9,94
CUST0097,F1,265
CUST0033,F10,117
CUST0027,F1,339
CUST0092,F10,367
CUST0022,F1,173
CUST0066,F4,139
CUST0047,F9,144
CUST0028,F10,181
CUST0076,F1,304
CUST0078,F10,78
CUST0085,F3,258
CUST0076,F2,384
CUST0046,F4,13
CUST0034,F1,205
CUST0021,F10,260
CUST0074,F2,78
CUST0068,F10,330
CUST0080,F2,47
CUST0078,F10,102
CUST0071,F3,312
CUST0072,F3,267
CUST0068,F2,379
CUST0065,F10,345
CUST0093,F3,134
CUST0020,F3,344
CUST0002,F10,383
CUST0040,F4,117
CUST0098,F10,333
CUST0047,F4,388
CUST0069,F9,147
CUST0082,F1,246
CUST0056,F2,102
CUST0069,F1,217
CUST0052,F3,337
CUST0065,F2,13
CUST0051,F1,252
CUST0038,F10,261
CUST0092,F10,184
CUST0001,F1,0
CUST0016,F9,364
CUST0091,F1,66
CUST0049,F1,120
CUST0016,F9,89
CUST0072,F4,380
CUST0084,F10,3
CUST0099,F4,13
CUST0098,F10,119
CUST0072,F3,254
CUST0069,F3,8
CUST0062,F2,297
CUST0009,F9,109
CUST0065,F2,110
CUST0100,F2,1
CUST0064,F1,186
CUST0085,F1,245
CUST0060,F4,60
CUST0062,F2,225
CUST0033,F4,399
CUST0016,F1,208
CUST0014,F10,243
CUST0024,F3,106
CUST0065,F2,302
CUST0048,F2,210
CUST0055,F3,398
CUST0042,F3,351
CUST0042,F4,321
CUST0055,F9,86
CUST0091,F2,84
CUST0053,F4,286
CUST0077,F2,204
CUST0091,F1,9
CUST0009,F9,298
CUST0068,F10,43
CUST0009,F10,56
CUST0014,F1,307
CUST0053,F10,45
CUST0053,F9,372
CUST0011,F2,302
CUST0051,F1,339
CUST0011,F3,69
CUST0008,F3,328
CUST0048,F9,201
CUST0062,F2,28
CUST0085,F10,58
CUST0065,F10,82
CUST0004,F4,245
CUST0018,F3,158
CUST0035,F10,162
CUST0050,F2,190
CUST0061,F4,335
CUST0081,F2,119
CUST0020,F3,161
CUST0036,F2,234
CUST0061,F1,238
CUST0011,F1,217
CUST0072,F9,239
CUST0025,F2,11
CUST0002,F10,320
CUST0002,F2,104
CUST0051,F4,262
CUST0065,F3,397
CUST0019,F10,161
CUST0081,F2,109
CUST0073,F4,192
CUST0033,F3,144
CUST0062,F1,67
CUST0082,F4,18
CUST0067,F2,30
CUST0095,F9,271
CUST0062,F9,255
CUST0046,F4,7
CUST0095,F3,150
CUST0097,F10,44
CUST0077,F2,352
CUST0046,F4,264
CUST0069,F2,107
CUST0003,F10,258
CUST0095,F2,88
CUST0021,F2,379
CUST0040,F10,298
CUST0076,F4,388
CUST0014,F9,18
CUST0064,F2,20
CUST0092,F1,36
CUST0070,F2,342
CUST0095,F4,173
CUST0077,F4,205
CUST0011,F10,8
CUST0068,F2,7
CUST0062,F1,148
CUST0021,F4,312
CUST0036,F1,238
CUST0089,F2,361
CUST0024,F3,166
CUST0047,F4,55
CUST0049,F4,354
CUST0040,F3,33
CUST0087,F1,295
CUST0084,F9,265
CUST0095,F3,192
CUST0087,F10,76
CUST0003,F9,115
CUST0048,F9,15
CUST0005,F4,83
CUST0072,F3,48
CUST0039,F9,127
CUST0036,F2,360
CUST0056,F3,126
CUST0049,F1,367
CUST0040,F10,181
CUST0073,F3,184
CUST0062,F1,225
CUST0014,F9,216
CUST0029,F9,12
CUST0042,F1,369
CUST0084,F3,16
CUST0019,F10,158
CUST0092,F2,239
CUST0066,F4,74
CUST0060,F10,176
CUST0021,F9,12
CUST0094,F1,162
CUST0062,F4,206
CUST0078,F4,14
CUST0002,F2,34
CUST0062,F4,358
CUST0093,F1,200
CUST0056,F3,204
CUST0044,F4,130
CUST0047,F10,294
CUST0032,F3,252
CUST0082,F10,262
CUST0072,F9,317
CUST0037,F10,97
CUST0019,F9,104
CUST0047,F4,90
CUST0042,F1,300
CUST0027,F4,342
CUST0016,F4,109
CUST0029,F2,94
CUST0028,F1,324
CUST0025,F4,361
CUST0018,F4,293
CUST0034,F10,345
CUST0001,F4,369
CUST0075,F10,183
CUST0083,F3,280
CUST0077,F1,315
CUST0046,F1,290
CUST0026,F1,286
CUST0038,F9,392
CUST0100,F1,184
CUST0054,F4,304
CUST0003,F4,122
CUST0010,F2,228
CUST0037,F10,273
CUST0024,F9,317
CUST0009,F1,125
CUST0030,F4,329
CUST0031,F2,86
CUST0031,F2,198
CUST0097,F9,246
CUST0058,F1,216
CUST0015,F3,102
CUST0037,F2,178
CUST0079,F9,351
CUST0062,F3,249
CUST0019,F3,361
CUST0026,F3,189
CUST0046,F10,29
CUST0091,F3,377
CUST0086,F2,128
CUST0046,F9,378
CUST0098,F2,218
CUST0028,F3,315
CUST0063,F4,191
CUST0098,F2,165
CUST0036,F1,39
CUST0050,F3,348
CUST0001,F10,337
CUST0063,F2,92
CUST0074,F1,178
CUST0079,F4,73
CUST0001,F10,337
CUST0005,F9,339
CUST0002,F1,161
CUST0005,F1,226
CUST0002,F9,109
CUST0099,F1,214
CUST0083,F2,155
CUST0002,F10,118
CUST0003,F9,45
CUST0077,F9,34
CUST0060,F3,57
CUST0067,F1,76
CUST0008,F2,121
CUST0006,F3,20
CUST0001,F4,196
CUST0004,F1,281
CUST0060,F10,340
CUST0078,F10,34
CUST0060,F1,130
CUST0029,F2,229
CUST0082,F1,102
CUST0068,F10,41
CUST0020,F3,53
CUST0011,F1,131
CUST0024,F9,198
CUST0072,F10,210
CUST0001,F2,287
CUST0097,F3,129
CUST0051,F4,354
CUST0035,F10,37
CUST0015,F10,92
CUST0023,F1,182
CUST0098,F9,256
CUST0042,F2,65
CUST0010,F1,190
CUST0034,F1,280
CUST0100,F2,143
CUST0082,F4,374
CUST0047,F2,149
CUST0079,F2,204
CUST0016,F9,65
CUST0055,F1,282
CUST0085,F9,31
CUST0045,F10,237
CUST0008,F1,166
CUST0099,F4,80
CUST0049,F9,8
CUST0076,F10,263
CUST0003,F2,54
CUST0093,F9,187
CUST0042,F9,106
CUST0070,F2,59
CUST0031,F2,185
CUST0080,F2,314
CUST0029,F1,207
CUST0007,F2,384
CUST0021,F1,297
CUST0060,F9,78
CUST0061,F1,117
CUST0097,F10,302
CUST0060,F4,53
CUST0060,F4,171
CUST0018,F10,145
CUST0008,F2,12
CUST0014,F1,177
CUST0099,F3,292
CUST0040,F2,131
CUST0019,F9,6
CUST0094,F1,133
CUST0077,F9,381
CUST0080,F4,280
CUST0067,F4,276
CUST0041,F4,388
CUST0087,F10,67
CUST0041,F10,110
CUST0028,F9,139
CUST0059,F9,81
CUST0079,F1,96
CUST0022,F10,101
CUST0046,F10,333
CUST0010,F2,197
CUST0096,F3,155
CUST0063,F9,337
CUST0018,F10,399
CUST0004,F2,338
CUST0080,F10,127
CUST0021,F1,254
CUST0072,F1,111
CUST0026,F1,182
CUST0064,F2,75
CUST0086,F1,38
CUST0056,F1,304
CUST0070,F9,306
CUST0067,F10,361
CUST0041,F9,394
CUST0004,F2,388
CUST0039,F1,275
CUST0008,F1,246
CUST0022,F3,179
CUST0041,F4,359
CUST0008,F10,306
CUST0035,F10,17
CUST0024,F3,237
CUST0084,F3,380
CUST0030,F1,121
CUST0034,F9,390
CUST0048,F1,395
CUST0040,F9,230
CUST0023,F2,344
CUST0098,F1,388
CUST0098,F9,154
CUST0092,F2,283
CUST0005,F9,102
CUST0091,F3,182
CUST0016,F2,39
CUST0028,F3,283
CUST0043,F9,319
CUST0066,F3,46
CUST0053,F9,237
CUST0065,F1,30
CUST0017,F3,359
CUST0008,F1,2
CUST0034,F10,223
CUST0062,F10,213
CUST0079,F3,193
CUST0075,F9,369
CUST0011,F1,153
CUST0025,F10,288
CUST0088,F1,309
CUST0042,F3,136
CUST0041,F9,128
CUST0049,F4,247
CUST0088,F9,269
CUST0049,F1,219
CUST0055,F1,363
CUST0096,F9,91
CUST0012,F10,240
CUST0055,F4,71
CUST0051,F3,108
CUST0028,F4,67
CUST0028,F2,126
CUST0001,F9,173
CUST0078,F4,247
CUST0036,F10,115
CUST0017,F4,193
CUST0041,F9,269
CUST0097,F4,188
CUST0006,F10,15
CUST0091,F10,122
CUST0051,F10,341
CUST0018,F4,185
CUST0033,F10,186
CUST0003,F2,332
CUST0097,F9,208
CUST0081,F2,359
CUST0085,F1,186
CUST0081,F1,263
CUST0065,F1,327
CUST0067,F10,129
CUST0005,F4,142
CUST0016,F1,374
CUST0041,F9,332
CUST0014,F9,163
CUST0069,F3,332
CUST0029,F4,382
CUST0064,F9,91
CUST0054,F1,134
CUST0005,F1,363
CUST0053,F9,32
CUST0060,F10,78
CUST0094,F1,379
CUST0033,F9,127
CUST0009,F1,362
CUST0098,F4,186
CUST0025,F9,392
CUST0034,F2,186
CUST0100,F2,67
CUST0027,F4,101
CUST0052,F9,96
CUST0040,F3,164
CUST0095,F2,172
CUST0071,F9,240
CUST0088,F4,23
CUST0040,F9,225
CUST0063,F4,397
CUST0097,F3,162
CUST0086,F2,25
CUST0080,F1,103
CUST0067,F1,78
CUST0087,F1,162
CUST0059,F4,205
CUST0070,F10,14
CUST0008,F1,319
CUST0014,F2,65
CUST0088,F1,67
CUST0100,F1,194
CUST0096,F1,201
CUST0024,F2,322
CUST0019,F1,155
CUST0075,F4,33
CUST0035,F10,315
CUST0065,F10,147
CUST0080,F1,367
CUST0073,F4,363
CUST0079,F3,95
CUST0058,F3,188
CUST0044,F1,123
CUST0017,F1,92
CUST0014,F1,302
CUST0011,F4,175
CUST0049,F10,75
CUST0006,F3,137
CUST0004,F2,376
CUST0096,F3,310
CUST0034,F2,183
CUST0094,F10,70
CUST0100,F2,341
CUST0069,F9,361
CUST0057,F1,326
CUST0052,F9,16
CUST0008,F1,254
CUST0072,F4,51
CUST0032,F4,270
CUST0038,F9,181
CUST0100,F2,189
CUST0037,F4,261
CUST0080,F9,284
CUST0098,F1,98
CUST0050,F4,211
CUST0033,F10,105
CUST0072,F9,322
CUST0095,F9,117
CUST0043,F4,264
CUST0034,F1,387
CUST0080,F10,239
CUST0067,F1,371
CUST0067,F3,340
CUST0050,F10,51
CUST0055,F2,41
CUST0086,F4,364
CUST0077,F3,147
CUST0076,F4,217
CUST0075,F4,52
CUST0063,F9,394
CUST0023,F1,157
CUST0001,F4,11
CUST0035,F10,32
CUST0064,F9,195
CUST0062,F4,15
CUST0008,F2,123
CUST0091,F4,138
CUST0038,F10,367
CUST0010,F10,78
CUST0073,F10,142
CUST0046,F1,231
CUST0065,F10,102
CUST0063,F4,269
CUST0028,F9,150
CUST0093,F9,69
CUST0089,F3,21
CUST0051,F9,199
CUST0086,F10,241
CUST0064,F1,287
CUST0026,F3,311
CUST0055,F4,80
CUST0017,F1,177
CUST0017,F3,121
CUST0001,F10,116
CUST0008,F2,274
CUST0049,F4,327
CUST0049,F1,91
CUST0045,F3,11
CUST0051,F3,196
CUST0044,F3,166
CUST0032,F9,72
CUST0005,F1,32
CUST0065,F9,43
CUST0055,F3,392
CUST0085,F4,125
CUST0078,F1,395
CUST0022,F1,85
CUST0036,F3,11
CUST0001,F3,12
CUST0064,F4,397
CUST0077,F1,114
CUST0027,F9,257
CUST0093,F1,171
CUST0089,F3,102
CUST0026,F4,340
CUST0049,F2,334
CUST0069,F4,168
CUST0072,F9,5
CUST0047,F2,268
CUST0063,F2,384
CUST0008,F9,306
CUST0033,F1,350
CUST0090,F10,236
CUST0053,F1,71
CUST0031,F1,35
CUST0048,F1,56
CUST0036,F1,336
CUST0012,F9,224
CUST0015,F9,250
CUST0091,F10,280
CUST0011,F3,81
CUST0062,F10,304
CUST0043,F3,78
CUST0076,F3,131
CUST0010,F10,348
CUST0030,F10,141
CUST0030,F2,272
CUST0062,F9,146
CUST0002,F4,130
CUST0038,F1,59
CUST0004,F4,249
CUST0055,F2,384
CUST0091,F2,162
CUST0098,F10,8
CUST0066,F9,318
CUST0082,F2,133
CUST0043,F9,45
CUST0094,F3,253
CUST0010,F2,169
CUST0071,F3,310
CUST0048,F1,372
CUST0008,F9,170
CUST0090,F1,304
CUST0054,F10,273
CUST0036,F9,309
CUST0077,F2,271
CUST0044,F9,195
CUST0009,F2,296
CUST0066,F4,28
CUST0063,F9,333
CUST0099,F2,243
CUST0026,F4,306
CUST0052,F1,112
CUST0080,F10,210
CUST0013,F2,22
CUST0083,F9,281
CUST0032,F9,8
CUST0013,F10,256
CUST0056,F9,192
CUST0002,F2,186
CUST0041,F4,343
CUST0065,F2,358
CUST0013,F1,280
CUST0094,F3,266
CUST0096,F3,70
CUST0001,F3,374
CUST0023,F4,6
CUST0060,F2,48
CUST0022,F3,341
CUST0078,F4,391
CUST0042,F2,356
CUST0067,F4,171
CUST0098,F1,390
CUST0091,F1,107
CUST0028,F1,377
CUST0077,F1,75
CUST0065,F9,142
CUST0034,F4,84
CUST0079,F3,329
CUST0080,F4,36
CUST0098,F9,355
CUST0039,F10,192
CUST0089,F3,325
CUST0047,F3,159
CUST0095,F9,33
CUST0006,F3,13
CUST0055,F2,311
CUST0018,F10,303
CUST0094,F2,51
CUST0030,F2,344
CUST0100,F4,85
CUST0098,F4,185
CUST0002,F9,147
CUST0023,F10,93
CUST0035,F10,209
CUST0023,F9,209
CUST0029,F4,325
CUST0100,F10,253
CUST0084,F9,127
CUST0090,F3,392
CUST0045,F3,224
CUST0071,F9,100
CUST0026,F4,31
CUST0011,F3,5
CUST0095,F4,45
CUST0099,F10,240
CUST0019,F9,47
CUST0048,F10,78
CUST0058,F3,225
CUST0086,F3,340
CUST0002,F9,289
CUST0034,F3,107
CUST0073,F4,31
CUST0004,F1,31
CUST0034,F4,213
CUST0020,F10,299
CUST0053,F4,32
CUST0080,F9,396
CUST0033,F4,103
CUST0017,F4,246
CUST0025,F1,13
CUST0011,F2,342
CUST0085,F10,253
CUST0075,F4,234
CUST0019,F3,56
CUST0071,F10,104
CUST0044,F3,179
CUST0033,F4,299
CUST0037,F4,172
CUST0051,F4,351
CUST0099,F10,118
CUST0051,F3,340
CUST0038,F2,321
CUST0001,F2,218
CUST0066,F1,160
CUST0085,F1,241
CUST0084,F3,14
CUST0078,F3,183
CUST0027,F10,67
CUST0059,F3,226
CUST0002,F2,174
CUST0003,F10,113
CUST0001,F10,82
CUST0066,F1,70
CUST0061,F4,337
CUST0086,F3,247
CUST0092,F9,211
CUST0047,F2,136
CUST0019,F4,269
CUST0083,F2,11
CUST0046,F10,68
CUST0008,F4,203
CUST0062,F9,372
CUST0092,F1,388
CUST0048,F2,237
CUST0027,F9,373
CUST0008,F2,52
CUST0036,F1,349
CUST0058,F10,229
CUST0004,F3,294
CUST0046,F3,383
CUST0033,F2,355
CUST0064,F3,220
CUST0093,F2,338
CUST0057,F9,345
CUST0045,F10,190
CUST0037,F10,304
CUST0022,F2,14
CUST0036,F3,318
CUST0013,F1,16
CUST0092,F1,146
CUST0068,F4,273
CUST0058,F10,132
CUST0061,F9,256
CUST0058,F1,188
CUST0033,F9,342
CUST0096,F2,288
CUST0077,F10,300
CUST0071,F9,197
CUST0062,F4,229
CUST0051,F1,45
CUST0039,F10,393
CUST0018,F10,216
CUST0077,F10,53
CUST0091,F2,155
CUST0006,F2,174
CUST0040,F10,245
CUST0061,F3,229
CUST0023,F3,306
CUST0022,F2,58
CUST0010,F2,334
CUST0086,F4,270
CUST0081,F9,122
CUST0067,F1,143
CUST0028,F1,318
CUST0001,F2,244
CUST0033,F9,82
CUST0025,F10,140
CUST0033,F3,238
CUST0038,F10,81
CUST0003,F3,225
CUST0049,F3,322
CUST0057,F4,83
CUST0013,F1,328
CUST0068,F2,253
CUST0005,F2,17
CUST0013,F3,165
CUST0092,F4,195
CUST0059,F3,371
CUST0005,F1,197
CUST0088,F4,322
CUST0020,F3,98
CUST0012,F10,121
CUST0069,F2,205
CUST0096,F9,288
CUST0012,F9,118
CUST0092,F9,302
CUST0092,F1,21
CUST0018,F3,221
CUST0005,F2,139
CUST0079,F9,94
CUST0095,F2,141
CUST0009,F10,364
CUST0052,F3,118
CUST0008,F1,40
CUST0089,F4,41
CUST0039,F9,186
CUST0014,F9,160
CUST0094,F2,310
CUST0082,F3,310
CUST0026,F4,127
CUST0048,F1,325
CUST0050,F4,82
CUST0032,F3,84
CUST0088,F9,20
CUST0020,F9,358
CUST0007,F1,144
CUST0066,F1,390
CUST0022,F2,343
CUST0002,F10,380
CUST0079,F1,368
CUST0065,F10,273
CUST0088,F9,91
CUST0031,F2,173
CUST0040,F2,240
CUST0090,F9,131
CUST0062,F1,52
CUST0006,F1,224
CUST0093,F9,186
CUST0056,F4,388
CUST0044,F9,106
CUST0055,F4,279
CUST0002,F10,162
CUST0037,F10,1
CUST0015,F10,372
CUST0008,F10,94
CUST0051,F10,393
CUST0014,F4,326
CUST0002,F4,149
CUST0079,F4,266
CUST0073,F3,304
CUST0048,F4,180
CUST0003,F1,2
CUST0061,F10,135
CUST0015,F4,147
CUST0006,F4,20
CUST0039,F10,344
CUST0021,F9,177
CUST0060,F9,10
CUST0034,F4,177
CUST0089,F3,164
CUST0086,F3,392
CUST0030,F3,96
CUST0050,F10,326
CUST0077,F10,182
CUST0050,F4,364
CUST0074,F10,174
CUST0010,F3,148
CUST0047,F1,281
CUST0081,F3,255
CUST0089,F3,52
CUST0040,F2,110
CUST0076,F3,100
CUST0020,F9,65
CUST0006,F1,114
CUST0029,F3,212
CUST0008,F3,386
CUST0017,F2,102
CUST0075,F10,7
CUST0001,F9,96
CUST0073,F1,346
CUST0008,F3,395
CUST0016,F3,362
CUST0061,F4,216
CUST0019,F3,327
CUST0011,F1,343
CUST0033,F4,391
CUST0099,F10,318
CUST0017,F4,352
CUST0077,F2,175
CUST0077,F2,128
CUST0066,F10,66
CUST0070,F1,229
CUST0093,F2,212
CUST0011,F10,123
CUST0080,F4,337
CUST0092,F9,162
CUST0027,F10,364
CUST0023,F9,280
CUST0044,F1,83
CUST0087,F4,22
CUST0025,F4,195
CUST0062,F3,253
CUST0040,F1,58
CUST0034,F2,12
CUST0044,F2,110
CUST0056,F1,331
CUST0045,F10,3
CUST0061,F10,127
CUST0002,F2,339
CUST0054,F4,187
CUST0053,F4,349
CUST0002,F9,146
CUST0084,F2,301
CUST0070,F9,110
CUST0038,F4,397
CUST0076,F1,254
CUST0093,F2,229
CUST0084,F10,286
CUST0063,F9,319
CUST0067,F4,50
